"index"	"tenure"	"age"	"marital"	"address"	"income"	"ed"	"employ"	"retire"	"gender"	"longmon"	"wiremon"	"churn"
"152"	57	37	"Unmarried"	11	108	"College degree"	9	"No"	"Female"	21.8	0	"No"
"153"	61	48	"Unmarried"	14	115	"College degree"	20	"No"	"Female"	12.8	31	"No"
"154"	34	54	"Unmarried"	31	53	"College degree"	22	"No"	"Male"	8.1	66.9	"No"
"155"	38	53	"Unmarried"	13	242	"College degree"	12	"No"	"Male"	8.95	50.75	"No"
"156"	3	24	"Married"	2	20	"High school degree"	3	"No"	"Female"	3.35	0	"No"
"157"	4	47	"Unmarried"	5	123	"College degree"	11	"No"	"Male"	2.5	0	"No"
"158"	15	35	"Unmarried"	0	34	"Did not complete high school"	12	"No"	"Male"	3.95	0	"No"
"159"	25	29	"Married"	8	31	"College degree"	3	"No"	"Female"	12.95	0	"Yes"
"160"	21	44	"Unmarried"	25	47	"Did not complete high school"	12	"No"	"Female"	7.05	0	"No"
"161"	50	37	"Married"	11	48	"Some college"	8	"No"	"Female"	12.9	0	"No"
"162"	65	64	"Married"	22	13	"High school degree"	5	"Yes"	"Female"	14.6	0	"No"
"163"	59	52	"Married"	18	78	"Did not complete high school"	25	"No"	"Male"	18.6	0	"No"
"164"	29	26	"Unmarried"	7	34	"Did not complete high school"	7	"No"	"Female"	6.5	0	"No"
"165"	60	46	"Unmarried"	17	81	"Post-undergraduate degree"	9	"No"	"Female"	17.45	0	"No"
"166"	71	45	"Married"	14	86	"High school degree"	25	"No"	"Male"	45.05	0	"No"
"167"	38	27	"Married"	0	26	"College degree"	2	"No"	"Male"	12.2	28.05	"Yes"
"168"	16	34	"Married"	5	51	"High school degree"	8	"No"	"Female"	4.7	0	"No"
"169"	7	31	"Unmarried"	10	59	"Some college"	10	"No"	"Male"	2.45	0	"No"
"170"	59	53	"Unmarried"	21	112	"College degree"	16	"No"	"Male"	21.1	25.3	"Yes"
"171"	22	56	"Married"	14	57	"College degree"	28	"No"	"Male"	6.2	28.8	"No"
"172"	18	48	"Married"	20	41	"Did not complete high school"	2	"No"	"Female"	4.35	0	"No"
"173"	64	46	"Married"	19	168	"High school degree"	26	"No"	"Female"	14.2	62.45	"No"
"174"	7	33	"Unmarried"	4	29	"College degree"	4	"No"	"Female"	4.65	0	"Yes"
"175"	65	58	"Unmarried"	13	167	"High school degree"	14	"No"	"Female"	24.3	0	"No"
"176"	7	24	"Unmarried"	5	29	"High school degree"	3	"No"	"Male"	4.45	0	"Yes"
"177"	64	55	"Unmarried"	28	104	"Did not complete high school"	26	"No"	"Female"	15	0	"No"
"178"	42	22	"Married"	0	46	"College degree"	0	"No"	"Male"	9.35	36	"Yes"
"179"	33	26	"Unmarried"	5	46	"College degree"	1	"No"	"Female"	11	32.05	"No"
"180"	3	33	"Unmarried"	8	51	"College degree"	0	"No"	"Female"	2.9	0	"Yes"
"181"	69	42	"Married"	11	65	"High school degree"	18	"No"	"Male"	14.2	66.55	"No"
"182"	9	33	"Unmarried"	1	48	"High school degree"	13	"No"	"Male"	3.15	0	"No"
"183"	22	34	"Married"	1	46	"Some college"	1	"No"	"Male"	7.1	0	"No"
"184"	53	63	"Married"	15	43	"High school degree"	18	"No"	"Male"	14.85	0	"No"
"185"	71	53	"Unmarried"	30	110	"Did not complete high school"	34	"No"	"Male"	17.45	0	"No"
"186"	24	26	"Unmarried"	2	32	"Some college"	2	"No"	"Male"	4.25	0	"No"
"187"	12	22	"Married"	1	18	"Some college"	0	"No"	"Female"	4.65	0	"No"
"188"	25	39	"Married"	1	26	"College degree"	0	"No"	"Male"	14.45	24.75	"Yes"
"189"	63	28	"Married"	9	34	"High school degree"	10	"No"	"Female"	15	45.1	"No"
"190"	33	54	"Married"	18	57	"College degree"	4	"No"	"Female"	7.5	0	"Yes"
"191"	57	54	"Married"	20	21	"High school degree"	0	"No"	"Female"	10.6	0	"No"
"192"	13	33	"Unmarried"	7	38	"Some college"	10	"No"	"Female"	5.05	28.85	"No"
"193"	13	21	"Unmarried"	2	19	"Some college"	0	"No"	"Female"	7.9	0	"Yes"
"194"	71	39	"Unmarried"	2	40	"Some college"	17	"No"	"Male"	36.25	0	"No"
"195"	18	69	"Married"	11	58	"Some college"	8	"No"	"Male"	6.35	63	"No"
"196"	17	51	"Married"	10	95	"High school degree"	15	"No"	"Female"	7.45	0	"Yes"
"197"	22	43	"Unmarried"	4	114	"High school degree"	19	"No"	"Male"	9.25	0	"No"
"198"	65	65	"Married"	27	128	"Some college"	24	"No"	"Male"	21.2	0	"No"
"199"	7	40	"Unmarried"	9	33	"College degree"	2	"No"	"Female"	2.8	0	"No"
"200"	72	66	"Unmarried"	30	460	"College degree"	41	"No"	"Female"	89.4	0	"No"
"201"	35	43	"Unmarried"	12	224	"Some college"	17	"No"	"Male"	7.7	0	"No"
"202"	24	39	"Unmarried"	2	122	"College degree"	12	"No"	"Male"	4.45	35.9	"No"
"203"	64	24	"Married"	0	23	"Some college"	1	"No"	"Female"	7	0	"No"
"204"	63	63	"Married"	19	191	"Some college"	27	"No"	"Male"	12.7	0	"No"
"205"	38	31	"Married"	7	187	"College degree"	6	"No"	"Male"	12.65	47.85	"Yes"
"206"	29	37	"Married"	9	119	"Some college"	12	"No"	"Male"	4.6	0	"No"
"207"	72	69	"Married"	49	44	"High school degree"	44	"Yes"	"Female"	99.95	0	"No"
"208"	10	27	"Married"	2	15	"Some college"	2	"No"	"Female"	7.5	39.5	"Yes"
"209"	72	64	"Unmarried"	41	674	"College degree"	37	"No"	"Female"	49.6	60.15	"No"
"210"	52	23	"Married"	4	33	"College degree"	0	"No"	"Female"	13.1	0	"No"
"211"	13	55	"Unmarried"	3	250	"High school degree"	35	"No"	"Female"	4.1	0	"No"
"212"	3	33	"Unmarried"	6	64	"College degree"	0	"No"	"Male"	2.15	0	"Yes"
"213"	39	24	"Married"	2	26	"High school degree"	4	"No"	"Male"	10.4	0	"Yes"
"214"	28	29	"Unmarried"	4	23	"Some college"	5	"No"	"Male"	3.7	0	"No"
"215"	46	42	"Unmarried"	9	52	"College degree"	7	"No"	"Male"	14.25	0	"No"
"216"	62	46	"Unmarried"	27	200	"Some college"	9	"No"	"Female"	26.25	0	"No"
"217"	23	33	"Married"	7	28	"Did not complete high school"	4	"No"	"Male"	6.9	0	"No"
"218"	23	25	"Married"	5	19	"Post-undergraduate degree"	0	"No"	"Male"	6.95	0	"Yes"
"219"	72	61	"Married"	39	76	"Some college"	21	"No"	"Male"	54.8	55.5	"No"
"220"	56	60	"Unmarried"	26	70	"High school degree"	20	"No"	"Male"	7.75	26.15	"No"
"221"	8	30	"Unmarried"	1	34	"High school degree"	9	"No"	"Female"	4.25	0	"No"
"222"	3	36	"Unmarried"	7	34	"Post-undergraduate degree"	3	"No"	"Female"	2.7	0	"No"
"223"	37	37	"Unmarried"	7	172	"Some college"	13	"No"	"Male"	6.85	0	"No"
"224"	37	53	"Married"	13	48	"Did not complete high school"	10	"No"	"Male"	12.55	0	"No"
"225"	6	30	"Unmarried"	9	45	"High school degree"	2	"No"	"Female"	1.35	0	"Yes"
"226"	48	47	"Unmarried"	9	72	"Some college"	13	"No"	"Male"	15.3	32.55	"Yes"
"227"	43	43	"Married"	3	55	"College degree"	18	"No"	"Female"	9.1	50.6	"No"
"228"	21	29	"Unmarried"	7	40	"College degree"	2	"No"	"Female"	4.5	33.4	"No"
"229"	6	33	"Unmarried"	12	26	"Some college"	0	"No"	"Male"	6.1	22.8	"Yes"
"230"	69	51	"Unmarried"	18	96	"Did not complete high school"	33	"No"	"Male"	33.95	0	"No"
"231"	22	33	"Unmarried"	9	54	"Did not complete high school"	10	"No"	"Male"	11.05	0	"No"
"232"	28	40	"Married"	1	47	"High school degree"	9	"No"	"Female"	8.1	0	"No"
"233"	71	47	"Married"	23	142	"Did not complete high school"	30	"No"	"Male"	32.2	0	"No"
"234"	7	37	"Unmarried"	5	57	"College degree"	1	"No"	"Male"	3.8	0	"No"
"235"	63	29	"Unmarried"	10	20	"Some college"	7	"No"	"Male"	13.3	96.25	"No"
"236"	53	57	"Unmarried"	25	37	"Did not complete high school"	7	"No"	"Male"	7.7	0	"No"
"237"	50	52	"Married"	17	36	"College degree"	16	"No"	"Male"	11.95	85.85	"No"
"238"	39	31	"Married"	6	24	"College degree"	2	"No"	"Male"	13.9	0	"No"
"239"	16	19	"Unmarried"	0	21	"High school degree"	0	"No"	"Female"	5.25	0	"No"
"240"	43	51	"Married"	15	186	"Some college"	25	"No"	"Male"	18.9	59.15	"No"
"241"	44	31	"Unmarried"	12	30	"Did not complete high school"	7	"No"	"Female"	8	0	"No"
"242"	72	66	"Married"	43	96	"High school degree"	16	"No"	"Female"	35.15	50.7	"No"
"243"	61	76	"Unmarried"	39	15	"Did not complete high school"	29	"Yes"	"Male"	18.6	0	"No"
"244"	43	21	"Married"	1	25	"Did not complete high school"	4	"No"	"Male"	7.6	0	"Yes"
"245"	24	39	"Unmarried"	11	49	"Some college"	7	"No"	"Female"	7.45	0	"No"
"246"	64	45	"Unmarried"	4	38	"High school degree"	7	"No"	"Female"	13.75	0	"Yes"
"247"	64	38	"Unmarried"	0	29	"High school degree"	2	"No"	"Male"	17.5	0	"No"
"248"	24	26	"Unmarried"	7	55	"High school degree"	7	"No"	"Female"	7.6	0	"No"
"249"	33	55	"Married"	21	64	"Some college"	10	"No"	"Female"	5.15	0	"No"
"250"	33	33	"Married"	12	42	"College degree"	7	"No"	"Female"	8.8	23.35	"No"
"251"	2	40	"Unmarried"	9	134	"College degree"	2	"No"	"Male"	3.9	0	"No"
"252"	42	48	"Married"	22	82	"Did not complete high school"	21	"No"	"Female"	9.3	0	"No"
"253"	52	54	"Married"	5	153	"Post-undergraduate degree"	10	"No"	"Male"	11.05	30.15	"Yes"
"254"	45	66	"Unmarried"	43	144	"High school degree"	13	"No"	"Female"	7.75	0	"No"
"255"	3	25	"Unmarried"	4	22	"College degree"	0	"No"	"Male"	2.85	0	"Yes"
"256"	37	53	"Married"	16	35	"Did not complete high school"	16	"No"	"Female"	21.3	0	"No"
"257"	28	57	"Unmarried"	33	82	"College degree"	22	"No"	"Female"	4.05	0	"Yes"
"258"	40	63	"Married"	9	61	"Did not complete high school"	22	"No"	"Male"	10.9	0	"No"
"259"	37	33	"Unmarried"	1	102	"High school degree"	12	"No"	"Male"	16.3	37.9	"No"
"260"	7	27	"Unmarried"	5	31	"Some college"	4	"No"	"Male"	4.15	41.85	"Yes"
"261"	71	56	"Unmarried"	23	170	"Did not complete high school"	30	"No"	"Female"	14.2	0	"No"
"262"	19	46	"Unmarried"	11	26	"High school degree"	0	"No"	"Female"	6.05	0	"No"
"263"	61	40	"Unmarried"	15	85	"Some college"	15	"No"	"Female"	13.65	0	"No"
"264"	70	53	"Married"	16	183	"High school degree"	35	"No"	"Female"	32.9	0	"No"
"265"	60	55	"Married"	13	67	"Did not complete high school"	18	"No"	"Female"	10.75	0	"No"
"266"	48	45	"Married"	5	42	"Did not complete high school"	11	"No"	"Female"	9.25	0	"No"
"267"	8	63	"Married"	1	31	"Did not complete high school"	9	"No"	"Male"	2.25	0	"No"
"268"	58	58	"Married"	10	96	"High school degree"	17	"No"	"Male"	12.5	0	"No"
"269"	16	24	"Married"	5	24	"Some college"	2	"No"	"Male"	9.4	0	"No"
"270"	33	33	"Unmarried"	4	53	"High school degree"	14	"No"	"Female"	5.05	0	"No"
"271"	39	25	"Unmarried"	4	18	"Did not complete high school"	0	"No"	"Female"	6.75	0	"No"
"272"	62	51	"Unmarried"	10	43	"College degree"	19	"No"	"Male"	27.15	41.15	"No"
"273"	50	34	"Unmarried"	10	104	"Some college"	9	"No"	"Male"	27.5	47.9	"No"
"274"	48	55	"Unmarried"	31	26	"Did not complete high school"	1	"No"	"Male"	12.15	0	"No"
"275"	31	62	"Unmarried"	5	56	"High school degree"	26	"No"	"Female"	4.3	0	"No"
"276"	65	33	"Married"	9	49	"High school degree"	6	"No"	"Male"	42.9	0	"No"
"277"	36	58	"Unmarried"	34	80	"Did not complete high school"	21	"No"	"Female"	8.5	0	"No"
"278"	61	46	"Unmarried"	5	318	"Some college"	18	"No"	"Female"	28.9	0	"No"
"279"	48	42	"Unmarried"	21	35	"College degree"	5	"No"	"Male"	12.9	0	"No"
"280"	35	45	"Unmarried"	17	29	"Did not complete high school"	6	"No"	"Male"	8.4	0	"No"
"281"	51	28	"Unmarried"	8	43	"Post-undergraduate degree"	1	"No"	"Male"	11.15	80.35	"No"
"282"	49	51	"Married"	5	80	"Post-undergraduate degree"	3	"No"	"Male"	5.75	36.7	"Yes"
"283"	35	39	"Married"	11	30	"Some college"	2	"No"	"Female"	6.85	0	"Yes"
"284"	58	70	"Unmarried"	2	9	"Some college"	24	"Yes"	"Female"	23.3	35.15	"No"
"285"	23	35	"Married"	0	23	"High school degree"	1	"No"	"Male"	6.7	0	"No"
"286"	26	39	"Married"	15	58	"College degree"	9	"No"	"Female"	8.65	19.65	"No"
"287"	38	37	"Married"	1	52	"Did not complete high school"	20	"No"	"Female"	12.2	54.4	"No"
